#	0.000	0.790	0.79	S
L	0.790	0.880	0.09	V
ə	0.880	0.980	0.10	V
S	0.980	1.100	0.12	U
(ə)	1.100	1.140	0.04	V
K	1.140	1.180	0.04	U
R	1.180	1.210	0.03	V
e	1.210	1.290	0.08	V
t	1.290	1.360	0.07	U
ɛ	1.360	1.430	0.07	V
R	1.430	1.480	0.05	V
d	1.480	1.520	0.04	V
e	1.520	1.600	0.08	V
t	1.600	1.690	0.09	U
a	1.690	1.760	0.07	V
a	1.760	1.810	0.05	V
m	1.810	1.860	0.05	V
e	1.860	1.920	0.06	V
R	1.920	1.970	0.05	V
i	1.970	2.050	0.08	V
K	2.050	2.140	0.09	U
ɛ̃	2.140	2.340	0.20	V
R	2.340	2.400	0.06	V
ɛ	2.400	2.470	0.07	V
k	2.470	2.550	0.08	U
s	2.550	2.630	0.08	U
t	2.630	2.730	0.10	U
i	2.730	2.770	0.04	V
j	2.770	2.830	0.06	V
ɛ	2.830	2.990	0.16	V
s	2.990	3.150	0.16	U
ɔ̃	3.150	3.370	0.22	V
e	3.370	3.450	0.08	V
l	3.450	3.510	0.06	V
ə	3.510	3.610	0.10	V
m	3.610	3.670	0.06	V
i	3.670	3.710	0.04	V
n	3.710	3.760	0.05	V
i	3.760	3.810	0.05	V
s	3.810	3.890	0.08	U
t	3.890	3.930	0.04	U
R	3.930	3.980	0.05	V
(ə)	3.980	4.070	0.09	V
R	4.070	4.120	0.05	V
y	4.120	4.250	0.13	V
s	4.250	4.340	0.09	U
d	4.340	4.410	0.07	V
e	4.410	4.490	0.08	V
z	4.490	4.570	0.08	U
a	4.570	4.640	0.07	V
f	4.640	4.760	0.12	U
ɛ	4.760	4.810	0.05	V
R	4.810	4.870	0.06	V
Z	4.870	4.930	0.06	U
e	4.930	5.000	0.07	V
t	5.000	5.060	0.06	U
R	5.060	5.100	0.04	V
ɑ̃	5.100	5.200	0.10	V
ʒ	5.200	5.250	0.05	V
ɛ	5.250	5.370	0.12	V
R	5.370	5.410	0.04	V
S	5.410	5.540	0.13	U
ɛ	5.540	5.620	0.08	V
R	5.620	5.660	0.04	V
g	5.660	5.740	0.08	V
e	5.740	5.840	0.10	V
j	5.840	5.900	0.06	V
l	5.900	5.950	0.05	V
a	5.950	6.040	0.09	V
v	6.040	6.100	0.06	V
R	6.100	6.150	0.05	V
ɔ	6.150	6.300	0.15	V
f	6.300	6.450	0.15	U
#	6.450	6.930	0.48	S
d	6.930	6.970	0.04	V
i	6.970	7.030	0.06	V
s	7.030	7.100	0.07	U
k	7.100	7.170	0.07	U
y	7.170	7.240	0.07	V
t	7.240	7.280	0.04	U
R	7.280	7.350	0.07	V
ɔ̃	7.350	7.470	0.12	V
m	7.470	7.570	0.10	V
ɛ	7.570	7.640	0.07	V
R	7.640	7.710	0.07	V
k	7.710	7.760	0.05	U
R	7.760	7.850	0.09	V
ə	7.850	7.920	0.07	V
d	7.920	8.000	0.08	V
i	8.000	8.160	0.16	V
